url,avg_f1,max_f1,avg_tpr,max_tpr,ens_tpr,ens_f1,knn_tpr,knn_f1,cumul_tpr,cumul_f1,kfp_tpr,kfp_f1
22kqas2t4ijsfax6.onion,0.916051015588,0.92,0.961904761905,0.985714285714,0.985714285714,0.938775510204,0.942857142857,0.910344827586,0.957142857143,0.917808219178,0.985714285714,0.92
22l22fplmj5cqpbp.onion,0.32792439128,0.427672955975,0.414285714286,0.585714285714,0.514285714286,0.406779661017,0.171428571429,0.176470588235,0.585714285714,0.37962962963,0.485714285714,0.427672955975
23tjl3xpt5btiqms.onion,0.615105646298,0.643835616438,0.614285714286,0.671428571429,0.742857142857,0.707482993197,0.585714285714,0.598540145985,0.585714285714,0.602941176471,0.671428571429,0.643835616438
25ffhnaechrbzwf3.onion,0.848914805783,0.904109589041,0.861904761905,0.942857142857,0.971428571429,0.925170068027,0.8,0.805755395683,0.942857142857,0.904109589041,0.842857142857,0.836879432624
2h3xkc7wmxthijqb.onion,0.251144320361,0.387878787879,0.271428571429,0.457142857143,0.257142857143,0.248275862069,0.128571428571,0.135338345865,0.457142857143,0.387878787879,0.228571428571,0.230215827338
2jv5r7k66ralyk3g.onion,0.939717000887,0.992907801418,0.957142857143,1.0,1.0,0.992907801418,0.871428571429,0.847222222222,1.0,0.992907801418,1.0,0.979020979021
2kka4f23pcxgqkpv.onion,0.836556392523,0.936170212766,0.809523809524,0.942857142857,0.914285714286,0.914285714286,0.685714285714,0.761904761905,0.942857142857,0.936170212766,0.8,0.811594202899
2ogmrlfzdthnwkez.onion,0.736875667688,0.890510948905,0.719047619048,0.871428571429,0.785714285714,0.839694656489,0.642857142857,0.63829787234,0.871428571429,0.890510948905,0.642857142857,0.681818181818
2qrdpvonwwqnic7j.onion,0.983484357683,0.992907801418,0.990476190476,1.0,1.0,0.992907801418,0.985714285714,0.971830985915,0.985714285714,0.985714285714,1.0,0.992907801418
2qtnwm3zdbn52nxt.onion,0.54600179127,0.634482758621,0.566666666667,0.657142857143,0.628571428571,0.590604026846,0.485714285714,0.450331125828,0.657142857143,0.634482758621,0.557142857143,0.553191489362
2v2kdt6x2xqcxams.onion,0.288542722053,0.428571428571,0.309523809524,0.514285714286,0.442857142857,0.397435897436,0.314285714286,0.312056737589,0.1,0.125,0.514285714286,0.428571428571
32ixi6myw3things.onion,0.826615144736,0.885906040268,0.852380952381,0.942857142857,0.928571428571,0.860927152318,0.685714285714,0.727272727273,0.928571428571,0.866666666667,0.942857142857,0.885906040268
32pbf32xi6ccm63z.onion,0.911235454917,0.985507246377,0.890476190476,0.971428571429,0.914285714286,0.955223880597,0.828571428571,0.816901408451,0.971428571429,0.985507246377,0.871428571429,0.931297709924
344c6kbnjnljjzlz.onion,0.964738787334,0.985915492958,0.97619047619,1.0,1.0,0.985915492958,0.942857142857,0.929577464789,0.985714285714,0.978723404255,1.0,0.985915492958
3cpleimu2getp5q7.onion,0.210136594048,0.429268292683,0.280952380952,0.628571428571,0.185714285714,0.173333333333,0.0714285714286,0.0704225352113,0.628571428571,0.429268292683,0.142857142857,0.130718954248
3cvpkfx4gdnkcduj.onion,0.885905228462,0.945205479452,0.933333333333,0.985714285714,0.985714285714,0.951724137931,0.857142857143,0.794701986755,0.985714285714,0.945205479452,0.957142857143,0.917808219178
3dboysnh6cia5uul.onion,0.787052598817,0.844444444444,0.733333333333,0.814285714286,0.828571428571,0.865671641791,0.571428571429,0.672268907563,0.814285714286,0.844444444444,0.814285714286,0.844444444444
3dbr5t4pygahedms.onion,0.774621212121,0.853146853147,0.766666666667,0.871428571429,0.842857142857,0.842857142857,0.628571428571,0.6875,0.871428571429,0.853146853147,0.8,0.783216783217
3g2upl4pq6kufc4m.onion,0.847960883644,0.945205479452,0.871428571429,0.985714285714,0.957142857143,0.937062937063,0.714285714286,0.671140939597,0.985714285714,0.945205479452,0.914285714286,0.927536231884
3ilte6sqgfknw5el.onion,0.789604142379,0.89932885906,0.8,0.957142857143,0.9,0.868965517241,0.628571428571,0.666666666667,0.957142857143,0.89932885906,0.814285714286,0.802816901408
3kyl4i7bfdgwelmf.onion,0.988312157326,1.0,1.0,1.0,1.0,0.992907801418,1.0,0.985915492958,1.0,0.979020979021,1.0,1.0
3sudsrkveht5atqj.onion,0.886482531553,0.957142857143,0.87619047619,0.957142857143,0.928571428571,0.955882352941,0.728571428571,0.772727272727,0.942857142857,0.929577464789,0.957142857143,0.957142857143
3ur4xm2japn56c5f.onion,0.918998435055,0.985915492958,0.947619047619,1.0,0.985714285714,0.978723404255,0.871428571429,0.813333333333,0.971428571429,0.957746478873,1.0,0.985915492958
452tzwwvj5c45zwi.onion,0.768368996909,0.848920863309,0.752380952381,0.842857142857,0.871428571429,0.847222222222,0.657142857143,0.730158730159,0.842857142857,0.848920863309,0.757142857143,0.72602739726
